起点,终点,划分,经纬度
北京南站,沧州西站,240000G1010N,"[116.378545,39.865195],[116.768136,38.306483]"
沧州西站,德州东站,240000G1010N,"[116.768136,38.306483],[116.462533,37.409444]"
德州东站,济南西站,240000G1010N,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,曲阜东站,240000G1010N,"[116.891316,36.668906],[117.069079,35.556462]"
曲阜东站,枣庄站,240000G1010N,"[117.069079,35.556462],[117.30583,34.780682]"
枣庄站,宿州东站,240000G1010N,"[117.30583,34.780682],[117.250896,33.675631]"
宿州东站,南京南站,240000G1010N,"[117.250896,33.675631],[118.798147,31.968587]"
南京南站,镇江南站,240000G1010N,"[118.798147,31.968587],[119.424373,32.152414]"
镇江南站,苏州北站,240000G1010N,"[119.424373,32.152414],[120.644312,31.421561]"
苏州北站,上海虹桥站,240000G1010N,"[120.644312,31.421561],[121.320038,31.193987]"
北京南站,沧州西站,240000G1032Q,"[116.378545,39.865195],[116.768136,38.306483]"
沧州西站,德州东站,240000G1032Q,"[116.768136,38.306483],[116.462533,37.409444]"
德州东站,济南西站,240000G1032Q,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,泰安站,240000G1032Q,"[116.891316,36.668906],[117.035742,36.172902]"
泰安站,枣庄站,240000G1032Q,"[117.035742,36.172902],[117.30583,34.780682]"
枣庄站,徐州东站,240000G1032Q,"[117.30583,34.780682],[117.305076,34.267673]"
徐州东站,滁州站,240000G1032Q,"[117.305076,34.267673],[118.319862,32.198885]"
滁州站,南京南站,240000G1032Q,"[118.319862,32.198885],[118.798147,31.968587]"
南京南站,无锡东站,240000G1032Q,"[118.798147,31.968587],[120.460118,31.597155]"
无锡东站,上海虹桥站,240000G1032Q,"[120.460118,31.597155],[121.320038,31.193987]"
北京南站,天津南站,24000000G505,"[116.378545,39.865195],[117.0608,39.056878]"
天津南站,济南西站,24000000G505,"[117.0608,39.056878],[116.891316,36.668906]"
济南西站,南京南站,24000000G505,"[116.891316,36.668906],[118.798147,31.968587]"
南京南站,上海站,24000000G505,"[118.798147,31.968587],[121.455739,31.249563]"
北京南站,天津南站,240000G1050M,"[116.378545,39.865195],[117.0608,39.056878]"
天津南站,德州东站,240000G1050M,"[117.0608,39.056878],[116.462533,37.409444]"
德州东站,济南西站,240000G1050M,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,滕州东站,240000G1050M,"[116.891316,36.668906],[117.256866,35.090796]"
滕州东站,徐州东站,240000G1050M,"[117.256866,35.090796],[117.305076,34.267673]"
徐州东站,宿州东站,240000G1050M,"[117.305076,34.267673],[117.250896,33.675631]"
宿州东站,南京南站,240000G1050M,"[117.250896,33.675631],[118.798147,31.968587]"
南京南站,无锡东站,240000G1050M,"[118.798147,31.968587],[120.460118,31.597155]"
无锡东站,上海虹桥站,240000G1050M,"[120.460118,31.597155],[121.320038,31.193987]"
北京南站,天津南站,240000G1430R,"[116.378545,39.865195],[117.0608,39.056878]"
天津南站,济南西站,240000G1430R,"[117.0608,39.056878],[116.891316,36.668906]"
